text,lemma,pos,coarse
",",--,"$,",PUNCT
und,und,KON,CCONJ
ziehe,ziehen,VVFIN,VERB
schon,schon,ADV,ADV
an,an,APPR,ADP
die,der,ART,DET
zehen,zeh,ADJA,ADJ
Jahr,Jahr,NN,NOUN
herauf,herauf,PTKVZ,ADV
",",--,"$,",PUNCT
herab,herab,ADV,ADV
und,und,KON,CCONJ
quer,quer,ADJD,ADV
und,und,KON,CCONJ
krumm,krumm,ADJD,ADV
meine,mein,PPOSAT,DET
Schüler,Schüler,NN,NOUN
an,an,APPR,ADP
der,der,ART,DET
Nase,Nase,NN,NOUN
herum,herum,APZR,ADV
–,--,$(,PUNCT
und,und,KON,CCONJ
sehe,sehen,VVFIN,VERB
",",--,"$,",PUNCT
dass,dass,KOUS,SCONJ
wir,wir,PPER,PRON
nichts,nichts,PIS,PRON
wissen,wissen,VVINF,VERB
können,können,VMINF,AUX
!,--,$.,PUNCT
Das,der,PDS,PRON
will,wollen,VMFIN,AUX
mir,mir,PPER,PRON
schier,schier,ADJD,ADV
das,der,ART,DET
Herz,Herz,NN,NOUN
verbrennen,verbrennen,VVFIN,VERB
!,--,$.,PUNCT
“,--,$(,PUNCT
(,--,$(,PUNCT
354–365,354–365,NN,NOUN
),--,$(,PUNCT
Historischer,Historischer,ADJA,ADJ
Hintergrund,Hintergrund,NN,NOUN
Ort,Ort,NN,NOUN
der,der,ART,DET
Handlung,Handlung,NN,NOUN
ist,sein,VAFIN,AUX
Deutschland,Deutschland,NE,PROPN
",",--,"$,",PUNCT
unter,unter,APPR,ADP
anderem,anderer,PIS,PRON
Leipzig,Leipzig,NE,PROPN
und,und,KON,CCONJ
der,der,ART,DET
Harz,Harz,NN,NOUN
.,--,$.,PUNCT
Die,der,ART,DET
Zeit,Zeit,NN,NOUN
ist,sein,VAFIN,AUX
etwa,etwa,ADV,ADV
die,der,ART,DET
Lebenszeit,Lebenszeit,NN,NOUN
des,der,ART,DET
historischen,historisch,ADJA,ADJ
Faust,Faust,NN,NOUN
(,--,$(,PUNCT
ca.,ca.,ADV,ADV
1480–1538,1480–1538,NE,PROPN
),--,$(,PUNCT
",",--,"$,",PUNCT
also,also,ADV,ADV
die,der,ART,DET
Wende,Wende,NN,NOUN
vom,von,APPRART,ADP
Mittelalter,Mittelalter,NN,NOUN
zur,zu,APPRART,ADP
Neuzeit,Neuzeit,NN,NOUN
.,--,$.,PUNCT
Der,der,ART,DET
Leser,Leser,NN,NOUN
begegnet,begegnen,VVFIN,VERB
Faust,Faust,NN,NOUN
in,in,APPR,ADP
seiner,sein,PPOSAT,DET
gotischen,gotisch,ADJA,ADJ
Studierstube,Studierstube,NN,NOUN
.,--,$.,PUNCT
Als,als,APPR,ADP
Zeitgenosse,Zeitgenosse,NN,NOUN
Luthers,Luther,NE,PROPN
beschäftigt,beschäftigen,VVFIN,VERB
er,er,PPER,PRON
sich,sich,PRF,PRON
mit,mit,APPR,ADP
einer,ein,ART,DET
Bibelübersetzung,Bibelübersetzung,NN,NOUN
.,--,$.,PUNCT
Die,der,ART,DET
mittelalterliche,mittelalterlich,ADJA,ADJ
Alchemie,Alchemie,NN,NOUN
",",--,"$,",PUNCT
wie,wie,PWAV,SCONJ
sie,sie,PPER,PRON
sein,sein,PPOSAT,DET
eigener,eigen,ADJA,ADJ
Vater,Vater,NN,NOUN
betrieben,betreiben,VVPP,VERB
hat,haben,VAFIN,AUX
",",--,"$,",PUNCT
beurteilt,beurteilen,VVFIN,VERB
er,er,PPER,PRON
sehr,sehr,ADV,ADV
kritisch,kritisch,ADJD,ADV
.,--,$.,PUNCT
Er,er,PPER,PRON
selbst,selbst,ADV,ADV
setzt,setzen,VVFIN,VERB
dagegen,dagegen,PROAV,ADV
auf,auf,APPR,ADP
Magie,Magie,NN,NOUN
und,und,KON,CCONJ
Geisterbeschwörung,Geisterbeschwörung,NN,NOUN
",",--,"$,",PUNCT
auf,auf,APPR,ADP
Offenbarungen,Offenbarung,NN,PROPN
aus,aus,APPR,ADP
einer,ein,ART,DET
anderen,anderer,ADJA,ADJ
Sphäre,Sphäre,NN,NOUN
–,--,$(,PUNCT
hierin,hierin,ADV,ADV
Nostradamus,Nostradamus,NE,PROPN
(,--,$(,PUNCT
1503–1566,1503–1566,NN,PROPN
),--,$(,PUNCT
",",--,"$,",PUNCT
einem,ein,ART,DET
anderen,anderer,ADJA,ADJ
Zeitgenossen,Zeitgenosse,NN,NOUN
",",--,"$,",PUNCT
ähnelnd,ähnelnd,ADJD,ADV
.,--,$.,PUNCT
Es,es,PPER,PRON
kommen,kommen,VVFIN,VERB
Anachronismen,Anachronismus,NN,NOUN
vor,vor,PTKVZ,ADP
",",--,"$,",PUNCT
zum,zu,APPRART,ADP
Beispiel,Beispiel,NN,NOUN
Marthe,Marthe,NE,PROPN
Schwerdtleins,Schwerdtlein,NE,PROPN
Wunsch,Wunsch,NN,NOUN
",",--,"$,",PUNCT
einen,ein,ART,DET
„,--,$(,PUNCT
Totenschein,Totenschein,NN,NOUN
“,--,$(,PUNCT
zu,zu,PTKZU,PART
erhalten,erhalten,VVINF,VERB
",",--,"$,",PUNCT
um,um,KOUI,SCONJ
das,der,ART,DET
Hinscheiden,hinscheiden,NN,NOUN
ihres,ihr,PPOSAT,DET
Mannes,Mann,NN,NOUN
im,in,APPRART,ADP
„,--,$(,PUNCT
Wochenblättchen,Wochenblättch,NN,NOUN
“,--,$(,PUNCT
anzeigen,anzeigen,VVIZU,VERB
zu,zu,PTKZU,PART
können,können,VMINF,AUX
.,--,$.,PUNCT
Beides,beide,PIS,PRON
gab,geben,VVFIN,VERB
es,es,PPER,PRON
zu,zu,APPR,ADP
Fausts,Faust,NE,PROPN
Zeiten,Zeit,NN,NOUN
noch,noch,ADV,ADV
nicht,nicht,PTKNEG,PART
.,--,$.,PUNCT
Auch,auch,ADV,ADV
sind,sein,VAFIN,AUX
Anspielungen,Anspielung,NN,NOUN
auf,auf,APPR,ADP
technische,technisch,ADJA,ADJ
Errungenschaften,Errungenschaft,NN,NOUN
des,der,ART,DET
18.,18.,ADJA,ADJ
Jahrhunderts,Jahrhundert,NN,NOUN
zu,zu,PTKZU,PART
finden,finden,VVINF,VERB
",",--,"$,",PUNCT
z.,z.,APPRART,ADP
B.,B.,NN,NOUN
den,der,ART,DET
Heißluftballon,Heißluftballon,NE,NOUN
(,--,$(,PUNCT
2065–2072,2065–2072,NE,PROPN
),--,$(,PUNCT
.,--,$.,PUNCT
Verweise,Verweis,NN,NOUN
",",--,"$,",PUNCT
Anspielungen,Anspielung,NN,NOUN
und,und,KON,CCONJ
Konnotationen,Konnotation,NN,NOUN
Goethes,Goethe,ADJA,NOUN
Tragödie,Tragödie,NN,NOUN
steht,stehen,VVFIN,VERB
in,in,APPR,ADP
einer,ein,ART,DET
Reihe,Reihe,NN,NOUN
von,von,APPR,ADP
literarischen,literarisch,ADJA,ADJ
Bearbeitungen,Bearbeitung,NN,NOUN
des,der,ART,DET
Faust-Stoffes,Faust-Stoff,NN,NOUN
",",--,"$,",PUNCT
und,und,KON,CCONJ
es,es,PPER,PRON
lassen,lassen,VVFIN,VERB
sich,sich,PRF,PRON
entsprechende,entsprechend,ADJA,ADJ
Bezüge,Bezug,NN,NOUN
zu,zu,APPR,ADP
den,der,ART,DET
Vorgängertexten,Vorgängertext,NN,NOUN
herstellen,herstellen,VVINF,VERB
.,--,$.,PUNCT
Durch,durch,APPR,ADP
die,der,ART,DET
Übernahme,Übernahme,NN,NOUN
des,der,ART,DET
Hiob-Motivs,Hiob-Motiv,NN,NOUN
ist,sein,VAFIN,AUX
die,der,ART,DET
Szene,Szene,NN,NOUN
Prolog,Prolog,NN,NOUN
im,in,APPRART,ADP
Himmel,Himmel,NN,NOUN
eine,ein,ART,DET
Neugestaltung,Neugestaltung,NN,NOUN
der,der,ART,DET
Bibel-Stelle,Bibel-Stelle,NN,NOUN
im,in,APPRART,ADP
Buch,Buch,NN,NOUN
Hiob,Hiob,NE,PROPN
(,--,$(,PUNCT
Ijob,Ijob,NE,PROPN
"1,6–12","1,6–12",NN,PROPN
EU,EU,NE,PROPN
),--,$(,PUNCT
.,--,$.,PUNCT
Besonders,besonders,ADV,ADV
in,in,APPR,ADP
den,der,ART,DET
Szenen,Szene,NN,NOUN
Walpurgisnacht,Walpurgisnacht,NN,NOUN
und,und,KON,CCONJ
Walpurgisnachtstraum,Walpurgisnachtstraum,NN,NOUN
hat,haben,VAFIN,AUX
Goethe,Goethe,NE,PROPN
Anspielungen,Anspielung,NE,PROPN
eingearbeitet,eingearbeiten,VVPP,VERB
",",--,"$,",PUNCT
die,der,PRELS,PRON
für,für,APPR,ADP
seine,sein,PPOSAT,DET
Zeitgenossen,Zeitgenosse,NN,NOUN
unmissverständlich,unmissverständlich,ADJD,ADV
waren,sein,VAFIN,AUX
.,--,$.,PUNCT
So,so,ADV,ADV
ist,sein,VAFIN,AUX
zum,zu,APPRART,ADP
Beispiel,Beispiel,NN,NOUN
mit,mit,APPR,ADP
der,der,ART,DET
Figur,Figur,NN,NOUN
Proktophantasmist,Proktophantasmist,NN,NOUN
(,--,$(,PUNCT
deutsch,deutsch,ADJD,ADV
:,--,$.,PUNCT
Steißgeisterseher,Steißgeisterseher,NN,NOUN
),--,$(,PUNCT
der,der,ART,DET
Schriftsteller,Schriftsteller,NN,NOUN
Friedrich,Friedrich,NE,PROPN
Nicolai,Nicolai,NE,PROPN
gemeint,meinen,VVPP,VERB
.,--,$.,PUNCT
Bei,bei,APPR,ADP
Betrachtung,Betrachtung,NN,NOUN
von,von,APPR,ADP
Goethes,Goethe,NE,PROPN
vielfältigem,vielfältig,ADJA,ADJ
Gesamtwerk,Gesamtwerk,NN,NOUN
lassen,lassen,VVFIN,VERB
sich,sich,PRF,PRON
zahlreiche,zahlreich,ADJA,ADJ
Stellen,Stelle,NN,NOUN
im,in,APPRART,ADP
Faust,Faust,NN,NOUN
mit,mit,APPR,ADP
anderen,anderer,ADJA,ADJ
Texten,Text,NN,NOUN
Goethes,Goethe,NE,PROPN
in,in,APPR,ADP
Verbindung,Verbindung,NN,NOUN
bringen,bringen,VVINF,VERB
.,--,$.,PUNCT
So,so,ADV,ADV
gilt,gelten,VVFIN,VERB
zum,zu,APPRART,ADP
Beispiel,Beispiel,NN,NOUN
Mephistos,Mephisto,NN,NOUN
Einlassung,Einlassung,NN,NOUN
über,über,APPR,ADP
Herkunft,Herkunft,NN,NOUN
und,und,KON,CCONJ
Eigenschaften,Eigenschaft,NN,NOUN
des,der,ART,DET
Lichtes,Licht,NN,NOUN
als,als,APPR,ADP
Hinweis,Hinweis,NN,NOUN
auf,auf,APPR,ADP
Goethes,Goethe,NE,PROPN
Farbenlehre,Farbenlehre,NN,NOUN
.,--,$.,PUNCT
Zum,zu,APPRART,ADP
Verständnis,Verständnis,NN,NOUN
der,der,ART,DET
Figur,Figur,NN,NOUN
Faust,Faust,NN,NOUN
ist,sein,VAFIN,AUX
es,es,PPER,PRON
auch,auch,ADV,ADV
hilfreich,hilfreich,ADJD,ADV
",",--,"$,",PUNCT
diese,dieser,PDAT,PRON
mit,mit,APPR,ADP
Figuren,Figur,NN,NOUN
in,in,APPR,ADP
anderen,anderer,ADJA,ADJ
Werken,Werk,NN,NOUN
Goethes,Goethe,NE,PROPN
zu,zu,PTKZU,PART
vergleichen,vergleichen,VVINF,VERB
",",--,"$,",PUNCT
die,der,PRELS,PRON
(,--,$(,PUNCT
quasi,quasi,ADV,ADV
als,als,APPR,ADP
„,--,$(,PUNCT
ältere,alt,ADJA,ADJ
Brüder,Bruder,NN,NOUN
“,--,$(,PUNCT
der,der,ART,DET
Figur,Figur,NN,NOUN
Faust,Faust,NN,NOUN
),--,$(,PUNCT
ebenfalls,ebenfalls,ADV,ADV
narzisstische,narzisstisch,ADJA,ADJ
Züge,Zug,NN,NOUN
aufweisen,aufweisen,VVINF,VERB
",",--,"$,",PUNCT
wie,wie,KOKOM,ADP
Werther,Werther,NN,NOUN
",",--,"$,",PUNCT
Torquato,Torquato,NE,PROPN
Tasso,Tasso,NE,PROPN
oder,oder,KON,CCONJ
der,der,ART,DET
Zauberlehrling,Zauberlehrling,NN,NOUN
.,--,$.,PUNCT
Die,der,ART,DET
Beziehung,Beziehung,NN,NOUN
von,von,APPR,ADP
Gretchen,gretche,NN,NOUN
und,und,KON,CCONJ
Faust,Faust,NN,NOUN
In,in,APPR,ADP
vielerlei,vielerlei,PIAT,DET
Hinsicht,Hinsicht,NN,NOUN
werden,werden,VAFIN,AUX
Gretchen,Gretchen,NN,NOUN
und,und,KON,CCONJ
Faust,Faust,NN,NOUN
als,als,APPR,ADP
zumindest,zumindest,ADV,ADV
teilweise,teilweise,ADV,ADV
konträre,konträr,ADJA,ADJ
Figuren,Figur,NN,NOUN
beschrieben,beschreiben,VVPP,VERB
:,--,$.,PUNCT
Gretchen,Gretchen,NN,VERB
ist,sein,VAFIN,AUX
tugendhaft,Tugendhaft,ADJD,ADV
und,und,KON,CCONJ
fühlt,fühlen,VVFIN,VERB
sich,sich,PRF,PRON
zur,zu,APPRART,ADP
bürgerlichen,bürgerlich,ADJA,ADJ
Moral,Moral,NN,NOUN
verpflichtet,verpflichten,VVFIN,VERB
",",--,"$,",PUNCT
ist,sein,VAFIN,AUX
also,also,ADV,ADV
gefestigt,festigen,VVPP,VERB
",",--,"$,",PUNCT
während,während,KOUS,SCONJ
Faust,Faust,NN,NOUN
eher,eher,ADV,ADV
ratlos,ratlos,ADJD,ADV
nach,nach,APPR,ADP
höheren,hoch,ADJA,ADJ
Erkenntnissen,Erkenntnis,NN,NOUN
strebend,strebend,ADJD,ADV
lebt,leben,VVFIN,VERB
.,--,$.,PUNCT
In,in,APPR,ADP
der,der,ART,DET
Forschung,Forschung,NN,NOUN
existieren,existieren,VVFIN,VERB
widersprüchliche,widersprüchlich,ADJA,ADJ
Aussagen,Aussage,NN,NOUN
dazu,dazu,PROAV,ADV
",",--,"$,",PUNCT
ob,ob,KOUS,SCONJ
man,man,PIS,PRON
davon,davon,PROAV,ADV
sprechen,sprechen,VVINF,VERB
kann,können,VMFIN,AUX
",",--,"$,",PUNCT
dass,dass,KOUS,SCONJ
Faust,Faust,NE,NOUN
Liebe,Liebe,NN,NOUN
für,für,APPR,ADP
Gretchen,Gretchen,NN,NOUN
empfindet,empfinden,VVFIN,VERB
.,--,$.,PUNCT
Einerseits,einerseits,ADV,ADV
begehrt,begehren,VVFIN,VERB
er,er,PPER,PRON
Gretchen,Gretchen,NN,NOUN
körperlich,körperlich,ADJD,ADV
",",--,"$,",PUNCT
was,was,PWS,PRON
unter,unter,APPR,ADP
anderem,anderer,PIS,PRON
an,an,APPR,ADP
den,der,ART,DET
Aussprüchen,Aussprüchen,NN,NOUN
Fausts,Faust,NN,NOUN
wie,wie,KOKOM,ADP
„,--,$(,PUNCT
Hör,Hör,NN,NOUN
",",--,"$,",PUNCT
du,du,PPER,PRON
musst,mussen,VVFIN,VERB
mir,mir,PRF,PRON
die,der,ART,DET
Dirne,Dirne,NN,NOUN
schaffen,schaffen,VVINF,VERB
!,--,$.,PUNCT
“,--,$(,PUNCT
oder,oder,KON,CCONJ
auch,auch,ADV,ADV
„,--,$(,PUNCT
Schaff,Schaff,NN,PROPN
mir,mir,PPER,PRON
ein,ein,ART,DET
Halstuch,Halstuch,NN,NOUN
von,von,APPR,ADP
ihrer,ihr,PPOSAT,DET
[,[,NN,NOUN
Gretchens,Gretchen,NE,PROPN
],],ADJA,NOUN
Brust,Brust,NN,NOUN
",",--,"$,",PUNCT
/,--,$(,PUNCT
Ein,ein,ART,DET
Strumpfband,Strumpfband,NN,NOUN
meiner,mein,PPOSAT,DET
Liebeslust,Liebeslust,NN,NOUN
!,--,$.,PUNCT
“,--,$(,PUNCT
(,--,$(,PUNCT
2661f,2661f,NN,NUM
),--,$(,PUNCT
zu,zu,PTKZU,PART
erkennen,erkennen,VVINF,VERB
ist,sein,VAFIN,AUX
.,--,$.,PUNCT
Walter,Walter,NE,PROPN
Nicolai,Nicolai,NE,PROPN
sieht,sehen,VVFIN,VERB
allerdings,allerdings,ADV,ADV
auch,auch,ADV,ADV
Liebe,Liebe,NN,NOUN
gegeben,geben,VVPP,VERB
",",--,"$,",PUNCT
da,da,KOUS,SCONJ
sich,sich,PRF,PRON
Faust,Faust,NN,NOUN
entschließt,entschließen,VVFIN,VERB
",",--,"$,",PUNCT
Gretchen,Gretchen,NN,NOUN
aus,aus,APPR,ADP
dem,der,ART,DET
Kerker,Kerker,NN,NOUN
zu,zu,PTKZU,PART
befreien,befreien,VVINF,VERB
.,--,$.,PUNCT
Er,er,PPER,PRON
spricht,sprechen,VVFIN,VERB
von,von,APPR,ADP
der,der,ART,DET
Gefahr,Gefahr,NN,NOUN
",",--,"$,",PUNCT
dass,dass,KOUS,SCONJ
er,er,PPER,PRON
sich,sich,PRF,PRON
bei,bei,APPR,ADP
ihr,ihr,PPER,PRON
verliegt,verliegen,VVPP,VERB
und,und,KON,CCONJ
damit,damit,PROAV,ADV
die,der,ART,DET
Wette,Wette,NN,NOUN
mit,mit,APPR,ADP
Mephisto,Mephisto,NE,PROPN
verlieren,verlieren,VVINF,VERB
würde,werden,VAFIN,AUX
.,--,$.,PUNCT
Ein,ein,ART,DET
tatsächliches,tatsächlich,ADJA,ADJ
Ausleben,Ausleben,NN,NOUN
der,der,ART,DET
Gefühle,Gefühl,NN,NOUN
Fausts,Faust,NN,NOUN
für,für,APPR,ADP
Gretchen,Gretchen,NN,NOUN
wäre,sein,VAFIN,AUX
demnach,demnach,PROAV,ADV
nicht,nicht,PTKNEG,PART
möglich,möglich,ADJD,ADV
",",--,"$,",PUNCT
ohne,ohne,APPR,ADP
dass,dass,KOUS,SCONJ
er,er,PPER,PRON
die,der,ART,DET
Wette,Wette,NN,NOUN
mit,mit,APPR,ADP
Mephisto,Mephisto,NE,PROPN
verliert,verlieren,VVFIN,VERB
.,--,$.,PUNCT
Ein,ein,ART,DET
Aspekt,Aspekt,NN,NOUN
",",--,"$,",PUNCT
der,der,PRELS,PRON
die,der,ART,DET
beiden,beide,PIS,PRON
trennt,trennen,VVFIN,VERB
",",--,"$,",PUNCT
ist,sein,VAFIN,AUX
die,der,ART,DET
Frage,Frage,NN,NOUN
der,der,ART,DET
Religion,Religion,NN,NOUN
.,--,$.,PUNCT
Auf,auf,APPR,ADP
die,der,ART,DET
Frage,Frage,NN,NOUN
von,von,APPR,ADP
Gretchen,Gretchen,NN,NOUN
„,--,$(,PUNCT
Nun,nun,ADV,ADV
sag,sag,PTKVZ,ADV
",",--,"$,",PUNCT
wie,wie,PWAV,ADV
hast,haben,VAFIN,AUX
du,du,PPER,PRON
's,es,PPER,PRON
mit,mit,APPR,ADP
der,der,ART,DET
Religion,Religion,NN,NOUN
?,--,$.,PUNCT
“,--,$(,PUNCT
antwortet,antworten,VVFIN,VERB
Faust,Faust,NN,NOUN
ausweichend,ausweichend,ADJD,ADV
und,und,KON,CCONJ
beschreibt,beschreiben,VVFIN,VERB
ein,ein,ART,DET
eher,eher,ADV,ADV
pantheistisches,pantheistisch,ADJA,ADJ
Weltbild,Weltbild,NN,NOUN
.,--,$.,PUNCT
Er,er,PPER,PRON
scheint,scheinen,VVFIN,VERB
nicht,nicht,PTKNEG,PART
an,an,APPR,ADP
einen,ein,ART,DET
Gott,Gott,NN,NOUN
als,als,APPR,ADP
höhere,hoch,ADJA,ADJ
Gestalt,Gestalt,NN,NOUN
zu,zu,PTKZU,PART
glauben,glauben,VVINF,VERB
",",--,"$,",PUNCT
wohingegen,wohingegen,KOUS,SCONJ
sie,sie,PPER,PRON
eher,eher,ADV,ADV
klassisch,klassisch,ADJD,ADV
religiös,religiös,ADJD,ADV
bzw.,bzw.,KON,CCONJ
gläubig,gläubig,ADJD,ADV
ist,sein,VAFIN,AUX
",",--,"$,",PUNCT
also,also,ADV,ADV
an,an,APPR,ADP
einen,ein,ART,DET
schaffenden,schaffend,ADJA,ADJ
Gott,Gott,NN,NOUN
glaubt,glauben,VVFIN,VERB
.,--,$.,PUNCT
Ebenso,ebenso,ADV,ADV
spielt,spielen,VVFIN,VERB
für,für,APPR,ADP
Faust,Faust,NN,NOUN
die,der,ART,DET
Glaubenspraxis,Glaubenspraxis,NN,NOUN
keine,kein,PIAT,DET
Rolle,Rolle,NN,NOUN
",",--,"$,",PUNCT
für,für,APPR,ADP
Gretchen,Gretchen,NN,NOUN
hingegen,hingegen,ADV,ADV
schon,schon,ADV,ADV
.,--,$.,PUNCT
Gretchen,Gretchen,NE,VERB
entscheide,entscheiden,VVFIN,VERB
sich,sich,PRF,PRON
dennoch,dennoch,ADV,ADV
gegen,gegen,APPR,ADP
die,der,ART,DET
bürgerliche,bürgerlich,ADJA,ADJ
Moral,Moral,NN,NOUN
und,und,KON,CCONJ
für,für,APPR,ADP
die,der,ART,DET
Sinnlichkeit,Sinnlichkeit,NN,NOUN
.,--,$.,PUNCT
Dadurch,dadurch,PROAV,ADV
werde,werden,VAFIN,AUX
die,der,ART,DET
Ambivalenz,Ambivalenz,NN,NOUN
zwischen,zwischen,APPR,ADP
der,der,ART,DET
Emanzipation,Emanzipation,NN,NOUN
und,und,KON,CCONJ
der,der,ART,DET
bürgerlichen,bürgerlich,ADJA,ADJ
Moral,Moral,NN,NOUN
deutlich,deutlich,ADJD,ADV
.,--,$.,PUNCT
Gretchen,Gretchen,NN,NOUN
befindet,befinden,VVFIN,VERB
sich,sich,PRF,PRON
zweifelsohne,Zweifelsohne,NN,NOUN
in,in,APPR,ADP
einer,ein,ART,DET
niedrigeren,niedrig,ADJA,ADJ
sozialen,sozial,ADJA,ADJ
Rolle,Rolle,NN,NOUN
als,als,APPR,ADP
Faust,Faust,NN,NOUN
.,--,$.,PUNCT
Während,während,KOUS,SCONJ
sie,sie,PPER,PRON
einerseits,einerseits,ADV,ADV
„,--,$(,PUNCT
über,über,APPR,ADP
vierzehn,vierzehn,CARD,NUM
Jahr,Jahr,NN,NOUN
doch,doch,ADV,ADV
alt,alt,ADJD,ADV
“,--,$(,PUNCT
ist,sein,VAFIN,AUX
und,und,KON,CCONJ
damit,damit,PROAV,ADV
deutlich,deutlich,ADJD,ADV
jünger,jung,ADJD,ADV
als,als,KOKOM,ADP
er,er,PPER,PRON
",",--,"$,",PUNCT
stammt,stammen,VVFIN,VERB
sie,sie,PPER,PRON
andererseits,andererseits,ADV,ADV
auch,auch,ADV,ADV
aus,aus,APPR,ADP
einer,ein,ART,DET
niedrigeren,niedrig,ADJA,ADJ
sozialen,sozial,ADJA,ADJ
Schicht,Schicht,NN,NOUN
.,--,$.,PUNCT
